model,pearson_ic,spearman_ic,mean_daily_pearson_ic,directional_accuracy,r2,mae,rmse
Ridge,0.07071228928810865,0.05573711326055607,0.07453603386290876,0.5076512552415182,-0.023413553309762802,0.000435550082550464,0.0006586645682637204
Elastic Net,0.03365231726756271,0.016739927454878265,0.003755957275398854,0.5082094429014867,-0.016468676715199138,0.00043025573375395277,0.0006564259175549065
LightGBM,0.043318708746485406,0.0250002876686694,0.03622571101267605,0.5213608887436694,-0.04619848177443364,0.0004404170173148851,0.0006659563473207652
