strategy,gross_pnl,transaction_cost,net_pnl,trade_count,hit_rate,average_trade_return,median_trade_return,turnover,average_exposure,maximum_exposure,max_drawdown,status,reason
cluster_prototype,0.018424473378568083,0.31959762114874357,-0.30117314777017545,1718.0,0.3637951105937136,-0.00017530450976145255,-0.00014377160716173962,3195.976211487435,0.9301444154503595,1.0,-0.3026569723966439,,
flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
random,0.010530502637406292,0.4062000000000001,-0.3956694973625937,2031.0,0.32151649433776464,-0.00019481511440797326,-0.00019105857527359476,4062.0,1.0,1.0,-0.3974573924650499,,
passive,0.05986032646642214,0.005599999999999999,0.05426032646642214,28.0,0.6071428571428571,0.0019378688023722194,0.001338689911716684,56.0,1.0,1.0,-0.013672752230339008,,
ridge_sign_1bp,,,,,,,,,,,,unavailable,frozen Ridge final-test predictions are not present; no substitute model was used
