window,metric,ridge,elastic_net,difference_elastic_minus_ridge
W1,gross_pnl,0.0086776749118536,0.00920458459155682,0.0005269096797032198
W1,transaction_costs,0.4100000000000001,0.41000000000000014,5.551115123125783e-17
W1,net_pnl,-0.4013223250881464,-0.4007954154084433,0.0005269096797030914
W1,sharpe,-186.16276443439057,-502.7628166981355,-316.60005226374494
W1,maximum_drawdown,-0.3760288936522772,-0.3752325063921579,0.0007963872601193245
W1,turnover,820.0,820.0,0.0
W1,trades,410.0,410.0,0.0
W2,gross_pnl,0.0144091379403994,-0.0004260234297697174,-0.014835161370169117
W2,transaction_costs,0.285,0.28500000000000003,5.551115123125783e-17
W2,net_pnl,-0.2705908620596006,-0.28542602342976975,-0.014835161370169159
W2,sharpe,-32.99442676909554,-36.98459225455139,-3.9901654854558473
W2,maximum_drawdown,-0.2437388579382842,-0.2569215290582818,-0.013182671119997602
W2,turnover,570.0,570.0,0.0
W2,trades,285.0,285.0,0.0
W3,gross_pnl,0.0212814442527203,0.0028984477555441535,-0.018382996497176146
W3,transaction_costs,0.2460000000000001,0.2460000000000001,0.0
W3,net_pnl,-0.2247185557472797,-0.24310155224445595,-0.018382996497176257
W3,sharpe,-106.28091320170184,-266.6959359049063,-160.4150227032045
W3,maximum_drawdown,-0.1917840718973829,-0.2112449285008402,-0.01946085660345731
W3,turnover,492.0,492.0,0.0
W3,trades,246.0,246.0,0.0
