experiment,metric,ridge,elastic_net,difference_elastic_minus_ridge
primary,pearson_ic,0.07071228928810865,0.03365231726756271,-0.03705997202054594
primary,spearman_ic,0.05573711326055607,0.016739927454878265,-0.038997185805677806
primary,mean_daily_pearson_ic,0.07453603386290876,0.003755957275398854,-0.0707800765875099
primary,median_daily_pearson_ic,0.0795849358920025,0.0005424608472824854,-0.07904247504472
primary,std_daily_pearson_ic,0.08398207913900513,0.04752794404956118,-0.03645413508944395
primary,directional_accuracy,0.5076512552415182,0.5082094429014867,0.000558187659968512
primary,prediction_mean,5.3533013293649875e-06,2.1035453578099722e-06,-3.2497559715550152e-06
primary,prediction_std,0.0001331084619609358,7.243182014411245e-05,-6.067664181682336e-05
primary,target_mean,7.216797140338735e-05,7.216797140338735e-05,0.0
primary,target_std,0.000651090976085297,0.000651090976085297,0.0
primary,r2,-0.023413553309762802,-0.016468676715199138,0.006944876594563665
primary,mae,0.000435550082550464,0.00043025573375395277,-5.294348796511239e-06
primary,rmse,0.0006586645682637204,0.0006564259175549065,-2.238650708813873e-06
W1,pearson_ic,0.03891226756075555,-0.02216212740166648,-0.06107439496242203
W1,spearman_ic,0.020275214105625026,-0.01003653080989571,-0.030311744915520737
W1,mean_daily_pearson_ic,0.060763428094790205,0.021114654825696955,-0.039648773269093246
W1,median_daily_pearson_ic,0.063962545371204,-0.017777169517808545,-0.08173971488901254
W1,std_daily_pearson_ic,0.07736178093126622,0.10900000366316048,0.03163822273189426
W1,directional_accuracy,0.48298480640418234,0.49277895768665253,0.009794151282470187
W1,prediction_mean,-1.702768792561024e-05,-1.065914227438276e-05,6.36854565122748e-06
W1,prediction_std,0.00014571883249616727,9.709794368603461e-05,-4.862088881013266e-05
W1,target_mean,4.93904532325124e-05,4.93904532325124e-05,0.0
W1,target_std,0.0007741592834662021,0.000774159283466202,-1.0842021724855044e-19
W1,r2,-0.02814182228351325,-0.027307190193721187,0.0008346320897920645
W1,mae,0.00045898060039958373,0.0004554826668235417,-3.4979335760420313e-06
W1,rmse,0.0007849736255255053,0.0007846549451738619,-3.186803516434236e-07
W2,pearson_ic,0.03175891279347658,0.0004949406456619751,-0.03126397214781461
W2,spearman_ic,-0.0010580636878999591,-0.04831698819982413,-0.04725892451192417
W2,mean_daily_pearson_ic,0.04222923537887753,-0.03021395488021498,-0.07244319025909252
W2,median_daily_pearson_ic,0.053564149316638394,-0.019092553609680714,-0.07265670292631911
W2,std_daily_pearson_ic,0.11974543175414781,0.15004145948361347,0.030296027729465658
W2,directional_accuracy,0.48011390490594574,0.4718428017771056,-0.008271103128840163
W2,prediction_mean,1.1733602699269665e-05,1.0283458892016373e-05,-1.4501438072532926e-06
W2,prediction_std,0.00012743050700246355,7.308360478259307e-05,-5.434690221987048e-05
W2,target_mean,-6.520117638199312e-06,-6.520117638199312e-06,0.0
W2,target_std,0.0006348369942954607,0.0006348369942954607,0.0
W2,r2,-0.028369195528173297,-0.013839704362879512,0.014529491165293784
W2,mae,0.0004450741809388544,0.0004404259604766458,-4.648220462208602e-06
W2,rmse,0.0006437751229542538,0.0006392111009035409,-4.564022050712905e-06
W3,pearson_ic,0.07071228928810865,0.03365231726756271,-0.03705997202054594
W3,spearman_ic,0.05573711326055607,0.016739927454878265,-0.038997185805677806
W3,mean_daily_pearson_ic,0.07453603386290876,0.003755957275398854,-0.0707800765875099
W3,median_daily_pearson_ic,0.0795849358920025,0.0005424608472824854,-0.07904247504472
W3,std_daily_pearson_ic,0.08398207913900513,0.04752794404956118,-0.03645413508944395
W3,directional_accuracy,0.5076512552415182,0.5082094429014867,0.000558187659968512
W3,prediction_mean,5.3533013293649875e-06,2.1035453578099722e-06,-3.2497559715550152e-06
W3,prediction_std,0.0001331084619609358,7.243182014411245e-05,-6.067664181682336e-05
W3,target_mean,7.216797140338735e-05,7.216797140338735e-05,0.0
W3,target_std,0.000651090976085297,0.000651090976085297,0.0
W3,r2,-0.023413553309762802,-0.016468676715199138,0.006944876594563665
W3,mae,0.000435550082550464,0.00043025573375395277,-5.294348796511239e-06
W3,rmse,0.0006586645682637204,0.0006564259175549065,-2.238650708813873e-06
