experiment,day,ridge_pearson_ic,elastic_net_pearson_ic,difference_pearson_ic,ridge_r2,elastic_net_r2,ridge_directional_accuracy,elastic_net_directional_accuracy
primary,80,0.0878982607922379,-0.015719980124463313,-0.10361824091670122,-0.0073013609755547,-0.03433938148407112,0.5396993955236072,0.5629799052442411
primary,81,0.071271610991767,-0.06404305739822802,-0.135314668389995,-0.0791091395053087,-0.08323375600759508,0.4777814082666231,0.4611174644665904
primary,82,0.0888868981069776,0.08140569875253334,-0.0074811993544442595,0.0034534151641755,0.004323040606575734,0.5366770135598758,0.5524424113706911
primary,83,-0.0175232904444433,0.0028554776908181183,0.02037876813526142,-0.0465813464409905,-0.011042741423501257,0.5186244077765071,0.504247671949028
primary,84,0.2181349764752336,-0.0017705559962531475,-0.21990553247148675,0.0472895406571544,-0.018716485175112707,0.5503185753961771,0.4805587322332952
primary,85,-0.0014522527443203,0.019808160727986145,0.021260413472306446,-0.1289343257142814,-0.08552093235354219,0.4228067309263192,0.4879104721450743
W1,45,0.0632750528523941,-0.04692999109692239,-0.11020504394931649,-0.004102770185103,-0.023879405448418822,0.4994281980068616,0.45025322659696126
W1,46,0.2171170203891472,0.13264108028214308,-0.08447594010700413,-0.042059698972825,-0.03967580401120974,0.4987747100147034,0.47949681424603824
W1,47,0.0903088614315753,0.2816224452786513,0.19131358384707603,-7.255177944420765e-05,0.03835512981958045,0.5152752818166966,0.5782551870609377
W1,48,-0.0160568803561867,-0.09467341892253557,-0.07861653856634887,-0.0399510890257797,-0.03282668507645292,0.4751674562979905,0.49428198006861623
W1,49,0.0646500378900138,-0.011918838057103514,-0.07656887594711732,-0.2423400387047247,-0.22778377479080736,0.41194249305669,0.44143113870282635
W1,50,-0.0321925427529131,-0.035147501423455255,-0.002954958670542157,-0.1017730483236141,-0.05892734543862477,0.5035941839568698,0.5608560692697272
W1,51,0.0848225887411035,0.013501447513097438,-0.07132114122800606,0.0016029132310605,-0.008418789328795029,0.5611828132658062,0.5135598758372815
W1,52,0.1311041825078347,0.022229086989929543,-0.10887509551790517,-0.1018691392787314,-0.061660837442047756,0.4354680607743832,0.45932037248815555
W1,53,0.03075230952836,-0.023635500978513576,-0.05438781050687358,-0.0309444573881016,-0.03262801351272726,0.4965691880411697,0.44984479660186244
W1,54,-0.0261463492834269,-0.026542261328321555,-0.0003959120448946557,-0.1227316357825962,-0.053165956147453786,0.4324456788106519,0.5004901159941186
W2,55,0.0360545353990185,0.15957488246172025,0.12352034706270175,-0.0352013962133272,0.014567688464630635,0.5702499591570005,0.554566247345205
W2,56,-0.0182707283604851,-0.07531917589586136,-0.05704844753537626,-0.0963600224319674,-0.05039983091861999,0.4404509067145891,0.4890540761313511
W2,57,0.0710737632342582,0.03713406867649993,-0.03393969455775826,-0.0077050441775816,-0.010641229650883544,0.4942819800686162,0.5143767358274791
W2,58,0.1365648431376087,0.05345639193140753,-0.08310845120620117,0.0062686175280947,-0.006328972230673857,0.448946250612645,0.446495670642052
W2,59,-0.1086836035558853,-0.15685206781132757,-0.04816846425544227,-0.1004878047100279,-0.05517190299181829,0.4808037902303545,0.4940369220715569
W2,60,-0.1515467315468687,0.10439500384924508,0.25594173539611376,-0.2058597244007112,-0.07995552538887463,0.4734713684891621,0.45648657392429637
W2,61,-0.0276046538576516,-0.30825822313495066,-0.28065356927729906,-0.4842392018077319,-0.41008705775657694,0.3892017224246439,0.2638290824776416
W2,62,0.1855163057017826,0.12429040755361065,-0.06122589814817195,0.0328084832885334,-0.018228957004529533,0.5364220674879486,0.5554365291912159
W2,63,0.0911355938013337,-0.1473013077982902,-0.23843690159962388,-0.0295740045836006,-0.0766271334932569,0.4020113460546674,0.25786487880350695
W2,64,0.2080530298356642,-0.09325952863420338,-0.3013125584698676,-0.0005209439952846,-0.024843617179071353,0.5537604456824513,0.5172701949860724
W3,80,0.0878982607922379,-0.015719980124463313,-0.10361824091670122,-0.0073013609755547,-0.03433938148407112,0.5396993955236072,0.5629799052442411
W3,81,0.071271610991767,-0.06404305739822802,-0.135314668389995,-0.0791091395053087,-0.08323375600759508,0.4777814082666231,0.4611174644665904
W3,82,0.0888868981069776,0.08140569875253334,-0.0074811993544442595,0.0034534151641755,0.004323040606575734,0.5366770135598758,0.5524424113706911
W3,83,-0.0175232904444433,0.0028554776908181183,0.02037876813526142,-0.0465813464409905,-0.011042741423501257,0.5186244077765071,0.504247671949028
W3,84,0.2181349764752336,-0.0017705559962531475,-0.21990553247148675,0.0472895406571544,-0.018716485175112707,0.5503185753961771,0.4805587322332952
W3,85,-0.0014522527443203,0.019808160727986145,0.021260413472306446,-0.1289343257142814,-0.08552093235354219,0.4228067309263192,0.4879104721450743
