feature,family,horizon_if_applicable,development_evidence,development_screen_status,eligible_for_ml,reason,mean_pearson_ic,pearson_pct_same_sign,pearson_fdr_reject,pearson_fdr_qvalue,days_scored
PB9_T7,PB,300,"{""mean_pearson_ic"": -0.1995862224335227, ""pearson_fdr_qvalue"": 1.3379154825388102e-21, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.9285714285714286}",eligible,True,development pearson_fdr_reject AND pearson_pct_same_sign >= 0.70 AND abs(mean_pearson_ic) >= 0.05,-0.1995862224335227,0.9285714285714286,True,1.3379154825388102e-21,70
PB9_T8,PB,300,"{""mean_pearson_ic"": -0.1995862224335227, ""pearson_fdr_qvalue"": 1.3379154825388102e-21, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.9285714285714286}",eligible,True,development pearson_fdr_reject AND pearson_pct_same_sign >= 0.70 AND abs(mean_pearson_ic) >= 0.05,-0.1995862224335227,0.9285714285714286,True,1.3379154825388102e-21,70
PB9_T9,PB,300,"{""mean_pearson_ic"": -0.1995862224335227, ""pearson_fdr_qvalue"": 1.3379154825388102e-21, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.9285714285714286}",eligible,True,development pearson_fdr_reject AND pearson_pct_same_sign >= 0.70 AND abs(mean_pearson_ic) >= 0.05,-0.1995862224335227,0.9285714285714286,True,1.3379154825388102e-21,70
PV1_T1,PV,300,"{""mean_pearson_ic"": 0.0054988064198294, ""pearson_fdr_qvalue"": 0.1595801624483541, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.5428571428571428}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,0.0054988064198294,0.5428571428571428,False,0.1595801624483541,70
PV1_T10,PV,300,"{""mean_pearson_ic"": 0.0212301562300045, ""pearson_fdr_qvalue"": 0.1231636178161516, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.5857142857142857}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,0.0212301562300045,0.5857142857142857,False,0.1231636178161516,70
PV1_T11,PV,300,"{""mean_pearson_ic"": 0.0189025374873605, ""pearson_fdr_qvalue"": 0.205216044096028, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.5428571428571428}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,0.0189025374873605,0.5428571428571428,False,0.205216044096028,70
PV1_T12,PV,300,"{""mean_pearson_ic"": -0.0158384271570239, ""pearson_fdr_qvalue"": 0.3498243279196584, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.5428571428571428}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0158384271570239,0.5428571428571428,False,0.3498243279196584,70
PV1_T2,PV,300,"{""mean_pearson_ic"": 0.0052434702728187, ""pearson_fdr_qvalue"": 0.2185204225479061, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.5428571428571428}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,0.0052434702728187,0.5428571428571428,False,0.2185204225479061,70
PV1_T3,PV,300,"{""mean_pearson_ic"": 0.0041807736935029, ""pearson_fdr_qvalue"": 0.3960198055872434, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.4857142857142857}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,0.0041807736935029,0.4857142857142857,False,0.3960198055872434,70
PV1_T4,PV,300,"{""mean_pearson_ic"": 0.0051198788545784, ""pearson_fdr_qvalue"": 0.3273444805561262, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.5285714285714286}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,0.0051198788545784,0.5285714285714286,False,0.3273444805561262,70
PV1_T5,PV,300,"{""mean_pearson_ic"": 0.001597110972411, ""pearson_fdr_qvalue"": 0.7951673518791968, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.4714285714285714}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,0.001597110972411,0.4714285714285714,False,0.7951673518791968,70
