day,validation_observations,pearson_ic,spearman_ic,directional_accuracy,prediction_mean,prediction_std,target_mean,target_std,r2,mae,rmse
55,12242,0.15957488246172025,0.1337694598525316,0.554566247345205,4.5177799245631515e-05,8.395771124941666e-05,-2.3966428064904596e-05,0.0007360539937839453,0.014567688464630635,0.00057456881292948,0.0007306431786841051
56,12242,-0.07531917589586136,-0.05253406434943297,0.4890540761313511,-5.091807125761123e-06,3.52496016293331e-05,3.880014104842232e-05,0.00030891254119933865,-0.05039983091861999,0.00025108636396367645,0.0003165884911815961
57,12242,0.03713406867649993,-0.02887768822681838,0.5143767358274791,2.0670078461868588e-05,2.6486477440493093e-05,-8.820567362442057e-06,0.00030279917701748793,-0.010641229650883544,0.00021907477213825775,0.00030439355839141196
58,12242,0.05345639193140753,0.006913268127593381,0.446495670642052,3.7783697480168e-05,0.00010668577325448388,-4.847551869650459e-05,0.001044690326819058,-0.006328972230673857,0.0007853722559472524,0.0010479482166196369
59,12242,-0.15685206781132757,-0.09563148453055097,0.4940369220715569,-1.8300688551807592e-05,6.25988352642435e-05,-3.930641074188402e-05,0.000510676493682604,-0.05517190299181829,0.00040071800699256304,0.0005245534387225754
60,6182,0.10439500384924508,0.16475111453888094,0.45648657392429637,-3.6275678032391093e-06,3.89228816992709e-05,-0.00016438865649869036,0.0005363886333847413,-0.07995552538887463,0.0003486635099669152,0.0005573748557555047
61,6038,-0.30825822313495066,-0.2767552833554851,0.2638290824776416,-1.9999510608513414e-05,3.2425352811372506e-05,0.0002889353136771115,0.0005100993727251128,-0.41008705775657694,0.000482232551217352,0.0006056779821653997
62,3734,0.12429040755361065,-0.05635101751784517,0.5554365291912159,4.6313747588893685e-05,1.6721283230229896e-05,0.0001016654511826941,0.00032922249198488447,-0.018228957004529533,0.0002617984327255167,0.00033216514428292
63,3878,-0.1473013077982902,-0.11626789997441025,0.25786487880350695,-1.701274179260712e-05,0.00014389458094050486,-0.00011817771061782914,0.0009696624547859341,-0.0766271334932569,0.0007596398962738994,0.0010059982810912199
64,3590,-0.09325952863420338,-0.09858021285852693,0.5172701949860724,-2.1101551538963175e-05,1.856826960336601e-05,-5.58394225382376e-05,0.00032916885283394226,-0.024843617179071353,0.00027126240214334025,0.00033318622590277133
