day,validation_observations,pearson_ic,spearman_ic,directional_accuracy,prediction_mean,prediction_std,target_mean,target_std,r2,mae,rmse
45,12242,-0.04692999109692239,-0.09032264413657048,0.45025322659696126,-7.290497871698547e-06,3.9083942683143485e-05,-5.2791823443133006e-05,0.0004725103402419742,-0.023879405448418822,0.0003696027593386,0.0004780991615506442
46,12242,0.13264108028214308,-0.007763278176710874,0.47949681424603824,1.098877171886864e-05,3.3306346712625694e-05,9.031417678117458e-05,0.000334712214573601,-0.03967580401120974,0.00024957003169200125,0.0003412736765079589
47,12242,0.2816224452786513,0.20731469970821406,0.5782551870609377,3.7106799217391134e-05,3.39647765084358e-05,5.883552954097139e-05,0.00039011975435678664,0.03835512981958045,0.000287289763229176,0.00038254943342591683
48,12242,-0.09467341892253557,-0.07795742432031881,0.49428198006861623,2.613460079878926e-06,4.1991044564225463e-05,-2.9709393510138198e-05,0.00043766236703551224,-0.03282668507645292,0.0003494279544162609,0.0004447696981008868
49,12242,-0.011918838057103514,-0.0785456114859175,0.44143113870282635,-9.842511000383808e-05,0.00016472429833043936,0.00027356085845273647,0.000861100181515999,-0.22778377479080736,0.0006910544658277317,0.0009541065714840294
50,12242,-0.035147501423455255,0.014601602243205277,0.5608560692697272,1.1909901826486188e-05,7.450121636401303e-05,-6.28610190301887e-05,0.0004815267153628786,-0.05892734543862477,0.000378659203468904,0.000495490954052514
51,12242,0.013501447513097438,0.04741331514920165,0.5135598758372815,6.70955034771692e-06,0.00019010752560553605,8.245521836480104e-05,0.0019462057350178277,-0.008418789328795029,0.0012997255805912552,0.0019543010884332016
52,12242,0.022229086989929543,0.06049294801710852,0.45932037248815555,-2.462098163194537e-08,2.51379712462015e-05,5.268508332015332e-05,0.00022629281889044158,-0.061660837442047756,0.00017584482859171844,0.00023315564378316244
53,12242,-0.023635500978513576,-0.038104795145236986,0.44984479660186244,-3.4617562229497914e-06,3.720017829393647e-05,5.4987023681898294e-05,0.00041146157477978953,-0.03262801351272726,0.00034157345143251053,0.0004181032049183542
54,12242,-0.026542261328321555,-0.06375007900429593,0.5004901159941186,-6.671792085405106e-05,5.596281138439307e-05,2.6428878166848804e-05,0.0005000550169131915,-0.053165956147453786,0.0004120786296472582,0.0005131548715573248
