day,validation_observations,pearson_ic,spearman_ic,directional_accuracy,prediction_mean,prediction_std,target_mean,target_std,r2,mae,rmse
55,12242,0.03605453539901851,0.13152467132006543,0.5702499591570005,5.943219409738001e-05,0.00013976186742506149,-2.3966428064904596e-05,0.0007360539937839453,-0.035201396213327296,0.0005829303516264785,0.0007488664245589626
56,12242,-0.018270728360485107,-0.02092440148730337,0.44045090671458914,-3.22227467307362e-05,5.90284759772589e-05,3.880014104842232e-05,0.00030891254119933865,-0.0963600224319674,0.00025718621991672504,0.0003234404980163992
57,12242,0.07107376323425828,0.007595598479239609,0.49428198006861623,4.9659635915732144e-06,5.2818486021167676e-05,-8.820567362442057e-06,0.00030279917701748793,-0.007705044177581666,0.0002202241272437363,0.0003039510640554823
58,12242,0.13656484313760878,0.06468101921379991,0.448946250612645,5.6878426460142394e-05,0.00019178374029643253,-4.847551869650459e-05,0.001044690326819058,0.006268617528094711,0.000790055038392867,0.001041368261953613
59,12242,-0.10868360355588536,-0.07558062512364372,0.4808037902303545,-8.756504288354658e-06,0.00011288245724314915,-3.930641074188402e-05,0.000510676493682604,-0.10048780471002794,0.0004107860546105349,0.0005356988897965473
60,6182,-0.15154673154686873,-0.016131414835116528,0.4734713684891621,-5.318112578400064e-05,0.0001499415627166639,-0.00016438865649869036,0.0005363886333847413,-0.2058597244007112,0.00037285776041285306,0.0005889695370290322
61,6038,-0.027604653857651623,-0.0899072994271237,0.3892017224246439,-4.3011017869076273e-05,0.00011237584202867706,0.0002889353136771115,0.0005100993727251128,-0.48423920180773194,0.0005051222477286624,0.0006213993177052318
62,3734,0.1855163057017826,0.11676025327259033,0.5364220674879486,8.957191153656841e-05,5.578707269804621e-05,0.0001016654511826941,0.00032922249198488447,0.032808483288533474,0.0002632574215229288,0.0003237334498941548
63,3878,0.09113559380133375,0.14955671860994846,0.4020113460546674,6.68455191545846e-05,0.0001254353625397837,-0.00011817771061782914,0.0009696624547859341,-0.0295740045836006,0.00069391750425663,0.0009837695196000874
64,3590,0.2080530298356642,0.23381082948672285,0.5537604456824513,1.3415364897551721e-06,3.0065706748854106e-05,-5.58394225382376e-05,0.00032916885283394226,-0.0005209439952846839,0.0002666240908044609,0.000329208720561353
